step,reward,reward_std,kl,entropy,mean_length,max_length,clipped_ratio,grad_norm,loss,step_time
218,0.7856,0.04652,0.1132,0.3546,274.3,341,0,0.06177,0.01132,87.31
219,0.7511,0.05168,0.1102,0.45,303.5,448,0,0.07422,0.01102,111.6
220,0.7471,0.05467,0.1301,0.4269,283,357,0,0.06299,0.01301,89.73
221,0.7616,0.05016,0.1056,0.4356,325.1,535,0,0.06836,0.01056,126.5
222,0.7663,0.03874,0.1036,0.4522,379.8,580,0,0.05396,0.01036,139.5
223,0.7722,0.04888,0.1395,0.4078,274.2,473,0,0.06592,0.01395,113.9
224,0.7823,0.04275,0.1102,0.4584,316.8,462,0,0.06738,0.01102,112.2
225,0.7432,0.04211,0.1103,0.4184,311.1,422,0,0.06299,0.01103,103.6
226,0.7672,0.05172,0.1248,0.3581,279.6,392,0,0.06226,0.01248,96.88
227,0.762,0.04595,0.1031,0.4351,333.6,540,0,0.06885,0.01031,128.1
228,0.7743,0.03918,0.1247,0.4056,306.8,486,0,0.05786,0.01247,118.5
229,0.7585,0.03964,0.1022,0.4045,309.4,766,0,0.06738,0.01022,177.1
230,0.7583,0.04799,0.09858,0.4201,276.6,334,0,0.06396,0.009859,83.91
231,0.7609,0.05363,0.09548,0.4969,307.6,498,0,0.07178,0.009548,119.5
232,0.7593,0.04259,0.1046,0.4955,342.2,470,0,0.07031,0.01046,115.4
233,0.8035,0.02779,0.1237,0.3431,256.9,401,0,0.06494,0.01237,100.1
234,0.7333,0.04841,0.09169,0.4799,308.5,388,0,0.1514,0.009169,98.98
235,0.7434,0.03693,0.09313,0.4248,311.9,588,0,0.06128,0.009313,137.5
236,0.7629,0.04721,0.09061,0.4238,299.3,437,0,0.06738,0.009061,108.4
237,0.7498,0.03269,0.1055,0.4184,297.7,433,0,0.06836,0.01055,103.5
238,0.7681,0.03923,0.1172,0.4085,275.9,492,0,0.06592,0.01172,117.3
239,0.7811,0.03012,0.1167,0.3631,295.4,462,0,0.07471,0.01167,110.7
240,0.7802,0.03758,0.1129,0.3711,281.3,351,0,0.06885,0.01129,90.63
241,0.7687,0.03598,0.1196,0.371,296.6,450,0,0.06104,0.01196,113.5
242,0.7864,0.02979,0.1096,0.3148,283.4,357,0,0.05322,0.01096,91.95
243,0.7784,0.02795,0.135,0.326,242.4,280,0,0.06494,0.0135,74.81
244,0.7807,0.05686,0.1166,0.415,309,534,0,0.07324,0.01166,131
245,0.7645,0.04415,0.08628,0.402,278.3,359,0,0.06592,0.008628,89.47
246,0.7817,0.04068,0.1555,0.3403,265.6,321,0,0.08643,0.01555,84.07
247,0.7885,0.0416,0.1278,0.2897,255.7,337,0,0.06836,0.01278,83.14
248,0.7863,0.05127,0.1455,0.3229,267.1,356,0,0.0752,0.01455,90.12
249,0.7891,0.03895,0.1109,0.3113,315.9,517,0,0.06641,0.01109,125
250,0.7866,0.0361,0.1361,0.3917,255.6,332,0,0.09619,0.01362,85.86
251,0.8011,0.0363,0.1468,0.3087,248.6,306,0,0.0791,0.01468,76.7
252,0.7817,0.04709,0.1266,0.4284,303.9,415,0,0.06641,0.01266,102.7
253,0.7627,0.0609,0.1244,0.3921,313.2,499,0,0.06885,0.01244,121.3
254,0.7497,0.05747,0.1337,0.3741,271.2,369,0,0.0708,0.01337,95.27
