step,reward,reward_std,kl,entropy,grad_norm,loss,learning_rate,completion_length,clip_high,clip_low,step_time,epoch
187,0.7368,0.03268,0.06509,0.3727,0.05884,0.006509,6.566e-05,293.1,0,0,90.83,0.8356
188,0.7785,0.04224,0.07367,0.4493,0.06445,0.007368,6.531e-05,315.8,0,0,118,0.84
189,0.7447,0.03984,0.07044,0.3831,0.05322,0.007043,6.497e-05,317.3,0,0,108.4,0.8444
190,0.7544,0.0509,0.07306,0.3852,0.05566,0.007306,6.462e-05,293.6,0,0,84.69,0.8489
191,0.7797,0.04096,0.09568,0.3299,0.07227,0.009568,6.428e-05,241.1,0,0,76.94,0.8533
192,0.7638,0.05058,0.08842,0.2907,0.0752,0.008842,6.393e-05,255.6,0,0,97.57,0.8578
193,0.7808,0.03752,0.08076,0.3262,0.0625,0.008076,6.358e-05,266.9,0,0,95.03,0.8622
194,0.7576,0.04283,0.08241,0.3762,0.06738,0.008241,6.323e-05,266.9,0,0,85.71,0.8667
195,0.7695,0.06074,0.1048,0.3219,0.06738,0.01048,6.288e-05,251.4,0,0,74.3,0.8711
196,0.7672,0.04371,0.09866,0.342,0.07471,0.009865,6.253e-05,295.5,0,0,99.63,0.8756
197,0.7635,0.03997,0.1046,0.3037,0.06982,0.01046,6.218e-05,235.5,0,0,72.38,0.88
198,0.7792,0.04326,0.114,0.3073,0.07227,0.0114,6.183e-05,244.7,0,0,85.1,0.8844
199,0.7715,0.05269,0.1173,0.2918,0.06494,0.01173,6.148e-05,268.5,0,0,93.94,0.8889
200,0.7892,0.02999,0.1038,0.2717,0.05933,0.01038,6.113e-05,286.1,0,0,99.37,0.8933
201,0.7807,0.03956,0.1464,0.2503,0.09814,0.01464,6.077e-05,251.7,0,0,98.01,0.8978
202,0.733,0.04986,0.1053,0.3632,0.07666,0.01053,6.042e-05,279.6,0,0,94.75,0.9022
203,0.7767,0.04866,0.1202,0.3503,0.06934,0.01202,6.006e-05,271.5,0,0,91.84,0.9067
204,0.7685,0.05351,0.1173,0.319,0.08936,0.01173,5.971e-05,282.1,0,0,107.5,0.9111
205,0.7788,0.02942,0.09465,0.3385,0.07031,0.009464,5.935e-05,297.6,0,0,108.5,0.9156
206,0.7686,0.0545,0.1001,0.3907,0.07227,0.01001,5.9e-05,310,0,0,130.3,0.92
207,0.7805,0.04654,0.08952,0.4057,0.06079,0.008952,5.864e-05,281.1,0,0,89.01,0.9244
208,0.7787,0.03729,0.0674,0.4306,0.05054,0.006739,5.829e-05,369,0,0,124.8,0.9289
209,0.7462,0.04641,0.07394,0.4123,0.05298,0.007393,5.793e-05,347.2,0,0,120.9,0.9333
210,0.7674,0.03969,0.07374,0.4135,0.07031,0.007374,5.757e-05,303.7,0,0,125.1,0.9378
211,0.7631,0.05117,0.08703,0.3409,0.07227,0.008703,5.721e-05,288.9,0,0,103.4,0.9422
212,0.761,0.04097,0.06337,0.4046,0.06299,0.006338,5.686e-05,346.6,0,0,109.6,0.9467
213,0.7638,0.05818,0.06503,0.4649,0.06055,0.006503,5.65e-05,329.8,0,0,102.5,0.9511
214,0.7455,0.04287,0.05854,0.4463,0.06299,0.005854,5.614e-05,339.5,0,0,116.9,0.9556
215,0.7402,0.03875,0.06489,0.3913,0.06177,0.006489,5.578e-05,329.8,0,0,104.7,0.96
216,0.7458,0.06387,0.05443,0.4296,0.04956,0.005445,5.542e-05,375.6,0,0,123.9,0.9644
217,0.7756,0.03221,0.06901,0.3622,0.05933,0.006902,5.506e-05,319.1,0,0,96.18,0.9689
218,0.7342,0.05118,0.06654,0.4434,0.05664,0.006654,5.47e-05,371.1,0,0,128.4,0.9733
219,0.7375,0.04702,0.05606,0.4307,0.07031,0.005606,5.434e-05,341.9,0,0,122,0.9778
220,0.7562,0.04736,0.05716,0.432,0.05713,0.005716,5.398e-05,363.4,0,0,120,0.9822
221,0.7745,0.03654,0.07502,0.3881,0.09961,0.007502,5.362e-05,371.4,0,0,124.4,0.9867
222,0.7493,0.04317,0.05958,0.3993,0.05811,0.005958,5.326e-05,329.6,0,0,100.5,0.9911
223,0.7748,0.0399,0.06774,0.376,0.05615,0.006773,5.289e-05,323.4,0,0,106.5,0.9956
224,0.7353,0.04357,0.04707,0.3508,0.06348,0.004707,5.253e-05,315.7,0,0,100.1,1
225,0.7505,0.03661,0.05136,0.3425,0.05615,0.005136,5.217e-05,314.4,0,0,107.7,1.004
226,0.7654,0.05139,0.05613,0.3666,0.05957,0.005613,5.181e-05,302.7,0,0,97.75,1.009
227,0.7437,0.03752,0.05304,0.3663,0.05762,0.005304,5.145e-05,321.8,0,0,98.99,1.013
228,0.7439,0.05381,0.07081,0.36,0.05762,0.007081,5.109e-05,319.7,0,0,104.8,1.018
229,0.7668,0.0435,0.05941,0.3491,0.05078,0.005941,5.072e-05,300.5,0,0,103.1,1.022
230,0.7444,0.0425,0.05572,0.3663,0.06226,0.005572,5.036e-05,274.8,0,0,99.94,1.027
231,0.7487,0.04619,0.05613,0.4033,0.05469,0.005612,5e-05,344.1,0,0,125.2,1.031
