step,epoch,reward,reward_std,loss,kl,entropy,learning_rate,step_time_s
249,1.1070,0.7226,0.04077,0.005262,0.05262,0.3904,7.288e-05,120.4
250,1.1110,0.7360,0.04260,0.006115,0.06115,0.4648,7.267e-05,113.5
251,1.1160,0.7426,0.03967,0.006206,0.06205,0.4467,7.245e-05,118.5
252,1.1200,0.7271,0.05079,0.005488,0.05488,0.5093,7.224e-05,126.0
253,1.1240,0.7218,0.03176,0.007443,0.07443,0.4626,7.202e-05,115.3
254,1.1290,0.7338,0.03986,0.005476,0.05476,0.4350,7.18e-05,109.5
255,1.1330,0.7239,0.04290,0.005459,0.05459,0.3766,7.159e-05,123.7
256,1.1380,0.7355,0.03663,0.007265,0.07265,0.3609,7.137e-05,95.5
257,1.1420,0.7452,0.05573,0.007131,0.07131,0.3547,7.115e-05,94.5
258,1.1470,0.7515,0.04330,0.007182,0.07183,0.4360,7.093e-05,106.0
259,1.1510,0.7302,0.04196,0.006605,0.06605,0.3351,7.071e-05,108.6
260,1.1560,0.7607,0.03946,0.009041,0.0904,0.3300,7.049e-05,110.0
261,1.1600,0.7810,0.04424,0.007016,0.07016,0.3659,7.027e-05,103.2
262,1.1640,0.7500,0.03763,0.007751,0.07752,0.3499,7.005e-05,98.0
263,1.1690,0.7664,0.03265,0.008563,0.08563,0.3875,6.983e-05,102.6
264,1.1730,0.7678,0.04866,0.007493,0.07492,0.4311,6.961e-05,124.5
265,1.1780,0.7635,0.03878,0.006866,0.06866,0.3785,6.938e-05,124.2
266,1.1820,0.7557,0.04098,0.007215,0.07215,0.3814,6.916e-05,113.1
267,1.1870,0.7757,0.04141,0.007011,0.07011,0.3657,6.894e-05,112.2
268,1.1910,0.7809,0.03166,0.009321,0.09321,0.3893,6.872e-05,109.0
269,1.1960,0.7610,0.04497,0.008011,0.08009,0.3254,6.849e-05,96.3
270,1.2000,0.7725,0.03675,0.008874,0.08874,0.3543,6.827e-05,105.9
271,1.2040,0.7737,0.03122,0.006458,0.06459,0.3356,6.804e-05,97.3
272,1.2090,0.7690,0.03860,0.006645,0.06646,0.3787,6.782e-05,117.9
273,1.2130,0.7883,0.02689,0.007479,0.07479,0.3614,6.759e-05,107.6
274,1.2180,0.7543,0.03633,0.007871,0.07871,0.3976,6.737e-05,110.5
275,1.2220,0.7784,0.03084,0.007418,0.07418,0.4214,6.714e-05,122.8
276,1.2270,0.7768,0.03457,0.008464,0.08465,0.3507,6.691e-05,108.3
277,1.2310,0.7788,0.04714,0.007351,0.07351,0.3967,6.668e-05,122.0
278,1.2360,0.7562,0.03168,0.008993,0.08992,0.4357,6.646e-05,116.4
279,1.2400,0.7494,0.04276,0.007511,0.0751,0.4344,6.623e-05,123.2
280,1.2440,0.7644,0.04959,0.008734,0.08734,0.4434,6.6e-05,110.9
281,1.2490,0.7735,0.02732,0.005651,0.0565,0.4174,6.577e-05,120.0
282,1.2530,0.7762,0.02384,0.00982,0.0982,0.4472,6.554e-05,124.6
283,1.2580,0.7951,0.03891,0.007337,0.07337,0.4157,6.531e-05,113.7
284,1.2620,0.7760,0.04852,0.008256,0.08256,0.3787,6.508e-05,101.4
285,1.2670,0.7647,0.04587,0.009253,0.09253,0.4296,6.485e-05,104.2
286,1.2710,0.7802,0.04135,0.008707,0.08708,0.4261,6.462e-05,106.4
287,1.2760,0.7751,0.04056,0.009485,0.09483,0.4468,6.439e-05,109.9
288,1.2800,0.7951,0.03935,0.009554,0.09554,0.4831,6.416e-05,105.9
289,1.2840,0.7480,0.04005,0.007962,0.07961,0.5958,6.393e-05,107.8
290,1.2890,0.7531,0.03672,0.008953,0.08954,0.4630,6.37e-05,96.3
291,1.2930,0.7919,0.03099,0.009744,0.09744,0.3789,6.346e-05,98.7
292,1.2980,0.8031,0.02019,0.0105,0.105,0.4501,6.323e-05,104.8
293,1.3020,0.7829,0.03871,0.009702,0.09701,0.4176,6.3e-05,108.8
294,1.3070,0.7580,0.05338,0.00972,0.09721,0.4705,6.277e-05,109.8
295,1.3110,0.7687,0.04281,0.009917,0.09917,0.4393,6.253e-05,107.6
296,1.3160,0.7584,0.04601,0.009742,0.09741,0.5020,6.23e-05,123.5
297,1.3200,0.7791,0.03530,0.00866,0.08659,0.4504,6.206e-05,107.6
298,1.3240,0.7668,0.04189,0.009449,0.09449,0.5015,6.183e-05,112.1
299,1.3290,0.7565,0.04435,0.01054,0.1055,0.4499,6.16e-05,94.1
300,1.3330,0.7616,0.04902,0.01036,0.1036,0.4754,6.136e-05,113.1
