step,reward,mean_length,kl,step_time,grad_norm,lr
354,0.7896,307.9,0.1284,104.9,0.07861,4.843e-05
355,0.7726,328.2,0.09976,104.6,0.07617,4.819e-05
356,0.8022,347.1,0.1277,116.8,0.07959,4.795e-05
357,0.7934,316.3,0.1232,114.1,0.1084,4.771e-05
358,0.7994,324.3,0.1119,97.26,0.08496,4.747e-05
359,0.7782,315.1,0.1129,96.66,0.0791,4.723e-05
360,0.7969,316.0,0.1306,115.0,0.07812,4.699e-05
361,0.7809,297.7,0.1373,87.1,0.07568,4.674e-05
362,0.8001,333.5,0.1133,101.9,0.07666,4.65e-05
363,0.7878,331.2,0.1257,107.8,0.07666,4.626e-05
364,0.7971,371.6,0.1008,116.6,0.07812,4.602e-05
365,0.7965,348.5,0.1015,98.71,0.07812,4.578e-05
366,0.7972,357.7,0.1049,111.1,0.07812,4.554e-05
367,0.7651,319.3,0.1537,96.31,0.0918,4.53e-05
368,0.7986,348.9,0.129,109.4,0.09668,4.506e-05
369,0.8076,361.0,0.1206,110.6,0.07812,4.482e-05
370,0.7877,319.6,0.1176,89.93,0.07568,4.458e-05
371,0.8046,289.8,0.124,84.77,0.08643,4.434e-05
372,0.8012,332.6,0.1323,107.7,0.08203,4.41e-05
373,0.7812,359.3,0.1057,116.5,0.06982,4.386e-05
374,0.7852,339.2,0.1052,104.7,0.08105,4.362e-05
375,0.7929,320.5,0.11,94.38,0.07471,4.338e-05
376,0.7707,319.6,0.1157,96.32,0.07129,4.314e-05
377,0.8262,312.4,0.1083,97.24,0.08105,4.291e-05
378,0.8063,345.0,0.1025,119.7,0.07471,4.267e-05
379,0.778,334.7,0.1239,105.3,0.06787,4.243e-05
380,0.7608,316.7,0.1075,92.73,0.08447,4.219e-05
381,0.7917,331.1,0.1205,97.89,0.07227,4.195e-05
382,0.7929,337.6,0.1266,113.2,0.07959,4.171e-05
383,0.7761,309.1,0.1202,90.97,0.07715,4.148e-05
384,0.7929,283.1,0.1259,83.2,0.07666,4.124e-05
385,0.7913,303.1,0.1306,90.82,0.08691,4.1e-05
386,0.8152,347.0,0.1021,108.6,0.08301,4.076e-05
387,0.8047,310.5,0.1237,89.06,0.08105,4.053e-05
388,0.8117,338.1,0.12,96.3,0.07471,4.029e-05
389,0.7457,316.3,0.1037,97.37,0.0791,4.005e-05
390,0.7991,335.9,0.119,97.65,0.09229,3.982e-05
391,0.7833,350.4,0.1497,111.9,0.08887,3.958e-05
392,0.7902,324.9,0.1329,106.8,0.08447,3.934e-05
393,0.8305,345.9,0.1045,109.8,0.07227,3.911e-05
394,0.797,332.1,0.1066,94.69,0.07861,3.887e-05
395,0.8052,339.0,0.1112,127.7,0.0752,3.864e-05
396,0.7588,304.0,0.1201,96.67,0.0835,3.84e-05
397,0.7955,333.6,0.1356,112.1,0.1001,3.817e-05
398,0.78,332.8,0.1105,94.55,0.07617,3.794e-05
399,0.8196,332.1,0.09641,102.2,0.0874,3.77e-05
400,0.798,324.3,0.1509,96.55,0.126,3.747e-05
401,0.7923,343.4,0.1098,105.6,0.07373,3.723e-05
402,0.8089,319.8,0.1176,97.21,0.0791,3.7e-05
403,0.787,313.6,0.1088,93.61,0.0752,3.677e-05
404,0.8077,314.6,0.1401,106.6,0.0918,3.654e-05
405,0.7828,333.1,0.1286,96.12,0.07568,3.63e-05
406,0.7553,334.6,0.1014,98.96,0.07568,3.607e-05
407,0.806,339.9,0.1226,103.4,0.07715,3.584e-05
408,0.7793,344.9,0.123,105.3,0.08789,3.561e-05
409,0.8073,344.6,0.1169,99.39,0.08447,3.538e-05
410,0.7916,334.9,0.1183,100.6,0.07324,3.515e-05
411,0.7752,325.0,0.1079,103.1,0.06885,3.492e-05
412,0.8061,345.5,0.1216,96.22,0.07812,3.469e-05
413,0.7908,317.2,0.1419,96.68,0.07227,3.446e-05
414,0.7893,353.4,0.131,106.5,0.07959,3.423e-05
415,0.8009,320.8,0.1252,103.5,0.08301,3.4e-05
416,0.7793,336.7,0.1203,101.0,0.08008,3.377e-05
417,0.7793,348.5,0.1026,119.7,0.08643,3.354e-05
418,0.7761,350.6,0.1212,125.1,0.08447,3.332e-05
419,0.7742,368.6,0.1256,113.4,0.06641,3.309e-05
420,0.7952,333.7,0.1244,104.1,0.07861,3.286e-05
421,0.779,329.6,0.145,128.3,0.08203,3.263e-05
422,0.7933,308.1,0.1346,98.33,0.08105,3.241e-05
423,0.8004,308.8,0.1394,96.88,0.07715,3.218e-05
424,0.8049,322.6,0.1566,95.09,0.08887,3.196e-05
425,0.7842,323.4,0.1317,91.46,0.07471,3.173e-05
426,0.816,337.1,0.1121,101.7,0.06738,3.151e-05
427,0.8002,373.5,0.1172,114.4,0.07129,3.128e-05
428,0.7789,326.9,0.1203,98.76,0.07324,3.106e-05
429,0.7891,344.8,0.1486,105.1,0.1157,3.084e-05
430,0.792,333.4,0.108,96.28,0.06836,3.062e-05
431,0.789,320.6,0.1358,101.2,0.0791,3.039e-05
432,0.8168,339.5,0.1462,102.3,0.08301,3.017e-05
433,0.7901,403.1,0.1243,125.0,0.0835,2.995e-05
434,0.7848,353.2,0.1302,113.0,0.07373,2.973e-05
435,0.8003,312.1,0.1413,110.2,0.07715,2.951e-05
436,0.7896,332.8,0.1237,100.4,0.08301,2.929e-05
437,0.7979,346.4,0.1385,114.7,0.07617,2.907e-05
